taxon	fa_max	fa_min	la_max	la_min	k
Aelurodon_asthenostylus	16.3	14.8	14.8	12.5	12
Aelurodon_ferox	14.8	12.5	12.5	9.4	44
Aelurodon_mcgrewi	14.8	12.5	14.8	12.5	9
Aelurodon_stirtoni	14.8	12.5	12.5	9.4	8
Aelurodon_taxoides	14.8	12.5	10	9.4	58
Aenocyon_dirus	0.85	0.21	0.013117	0.012965	74
Archaeocyon_falkenbachi	24.7	23.1	24.7	23.1	1
Archaeocyon_leptodus	31.8	29.5	24.7	23.1	15
Archaeocyon_pavidus	31.8	29.5	29.5	24.7	8
Atelocynus_microtis	0	0	0	0	0
Borophagus_diversidens	4.7	4.1	2.58	1.8	28
Borophagus_dudleyi	7.5	4.7	5.333	3.6	2
Borophagus_hilli	7.5	4.7	4.1	3	15
Borophagus_littoralis	12.5	10	10	9.4	6
Borophagus_orc	9.4	7.5	5.333	3.6	3
Borophagus_parvus	7.5	4.7	7.5	4.7	3
Borophagus_pugnator	9.4	7.5	7.5	4.7	18
Borophagus_secundus	9.4	7.5	7.5	4.7	32
Caedocyon_tedfordi	29.5	24.7	29.5	24.7	1
Canis_anthus	0.129	0.0117	0	0	1
Canis_antonii	2.58	0.774	2.58	0.774	1
Canis_armbrusteri	1.8	0.85	0.85	0.21	16
Canis_arnensis	2.58	1.8	2.58	0.774	7
Canis_aureus	0.774	0.129	0	0	12
Canis_chihliensis	2.58	0.774	2.58	0.774	2
Canis_edwardii	4.1	3	0.85	0.21	31
Canis_etruscus	2.58	1.8	2.58	0.774	19
Canis_falconeri	2.58	1.8	2.58	0.774	10
Canis_latrans	0.85	0.21	0	0	69
Canis_lepophagus	4.7	4.1	3	1.8	33
Canis_lupus	0.774	0.129	0	0	93
Canis_mosbachensis	1.6	1.2	0.774	0.129	9
Canis_palmidens	3.6	2.58	3.6	2.58	1
Canis_simensis	1.633	1.3773	0	0	1
Canis_thooides	3	1.8	3	1.8	1
Canis_variabilis	0.774	0.129	0.774	0.129	1
Carpocyon_compressus	16.3	14.8	14.8	12.5	14
Carpocyon_limosus	9.4	7.5	7.5	4.7	3
Carpocyon_robustus	12.5	10	10	9.4	12
Carpocyon_webbi	14.8	12.5	12.5	9.4	11
Cerdocyon_texanus	7.5	4.7	7.5	4.7	2
Cerdocyon_thous	0.4	0.0117	0	0	2
Chrysocyon_brachyurus	0.4	0.0117	0	0	4
Chrysocyon_nearcticus	4.7	4.1	4.7	3	3
Cormocyon_copei	29.5	24.7	23.1	18.5	10
Cormocyon_haydeni	29.5	24.7	23.1	18.5	6
Cuon_alpinus	0.62	0.52	0	0	9
Cynarctoides_acridens	24.7	18.5	16.3	14.8	48
Cynarctoides_emryi	23.1	18.5	18.5	17.5	3
Cynarctoides_gawnae	18.5	17.5	18.5	17.5	2
Cynarctoides_harlowi	23.1	18.5	23.1	18.5	1
Cynarctoides_lemur	29.5	24.7	24.7	18.5	6
Cynarctoides_luskensis	23.1	18.5	23.1	18.5	4
Cynarctoides_roii	29.5	24.7	29.5	24.7	9
Cynarctus_crucidens	13.82	11.63	10	9.4	14
Cynarctus_galushai	16.3	14.8	14.8	12.5	5
Cynarctus_marylandica	16.84	15.1	16.84	15.1	2
Cynarctus_saxatilis	14.8	12.5	14.8	12.5	8
Cynarctus_voorhiesi	12.5	10	12.5	9.4	5
Cynodesmus_martini	29.5	24.7	29.5	24.7	1
Cynodesmus_thooides	31.8	29.5	29.5	24.7	10
Desmocyon_matthewi	18.5	17.5	18.5	17.5	8
Desmocyon_thomsoni	23.1	18.5	18.5	17.5	32
Dusicyon_australis	0.003752	0.003396	5e-04	0.000236	3
Ectopocynus_antiquus	31.8	29.5	29.5	24.7	2
Ectopocynus_intermedius	29.5	24.7	29.5	24.7	1
Ectopocynus_simplicidens	18.5	17.5	18.5	17.5	3
Enhydrocyon_basilatus	24.7	23.1	23.1	18.5	2
Enhydrocyon_crassidens	29.5	24.7	23.1	18.5	7
Enhydrocyon_pahinsintewakpa	29.5	24.7	24.7	23.1	5
Enhydrocyon_stenocephalus	29.5	24.7	29.5	24.7	2
Epicyon_aelurodontoides	9.4	7.5	9.4	7.5	1
Epicyon_haydeni	12.5	10	7.5	4.7	62
Epicyon_saevus	14.8	12.5	9.4	7.5	61
Eucyon_davisi	9.4	7.5	3.6	2.58	31
Eucyon_ferox	7.5	4.7	4.1	3	23
Euoplocyon_brachygnathus	16.3	14.8	16.3	14.8	6
Euoplocyon_spissidens	18.5	17.5	18.5	17.5	1
Ferrucyon_avius	4.7	4.1	4.7	4.1	1
Hesperocyon_coloradensis	33.9	31.8	33.9	31.8	2
Hesperocyon_gregarius	39.7	37	31.8	29.5	134
Leptocyon_douglassi	29.5	24.7	29.5	24.7	4
Leptocyon_gregorii	23.1	18.5	23.1	18.5	6
Leptocyon_leidyi	18.5	17.5	14.8	12.5	25
Leptocyon_matthewi	12.5	10	10	9.4	16
Leptocyon_mollis	29.5	24.7	29.5	24.7	1
Leptocyon_vafer	14.8	12.5	10	9.4	45
Leptocyon_vulpinus	23.1	18.5	18.5	17.5	6
Lupulella_adusta	0.0117	0	0	0	2
Lupulella_mesomelas	0.774	0.129	0	0	9
Lycalopex_culpaeus	0.4	0.0117	0	0	6
Lycalopex_fulvipes	0	0	0	0	0
Lycalopex_griseus	0.0117	0	0	0	1
Lycalopex_gymnocercus	0.4	0.0117	0	0	8
Lycalopex_sechurae	0.129	0.0117	0	0	1
Lycalopex_vetulus	0	0	0	0	0
Lycaon_pictus	0.129	0.0117	0	0	4
Mesocyon_brachyops	29.5	24.7	27.82	23.03	4
Mesocyon_coryphaeus	29.5	24.7	29.5	24.7	1
Mesocyon_temnodon	33.9	31.8	29.5	24.7	19
Metalopex_macconnelli	10	9.4	9.4	7.5	5
Metalopex_merriami	10	9.4	9.4	7.5	5
Metatomarctus_canavus	18.5	17.5	17.5	16.3	26
Microtomarctus_conferta	17.5	16.3	14.8	12.5	32
Nyctereutes_procyonoides	0.129	0.0117	0	0	3
Osbornodon_brachypus	23.1	18.5	23.1	18.5	2
Osbornodon_fricki	17.5	16.3	16.3	14.8	14
Osbornodon_iamonensis	23.1	18.5	17.5	16.3	3
Osbornodon_renjiei	33.9	31.8	31.8	29.5	3
Osbornodon_sesnoni	31.8	29.5	29.5	28	3
Otarocyon_cooki	29.5	24.7	24.7	23.1	5
Otarocyon_macdonaldi	37	31.8	33.9	31.8	3
Otocyon_megalotis	0.129	0.0117	0	0	3
Oxetocyon_cuspidatus	31.8	29.5	29.5	24.7	6
Paracynarctus_kelloggi	18.5	17.5	14.8	12.5	16
Paracynarctus_sinclairi	16.3	14.8	16.3	14.8	5
Paraenhydrocyon_josephi	31.8	29.5	23.1	18.5	7
Paraenhydrocyon_robustus	23.1	18.5	23.1	18.5	2
Paraenhydrocyon_wallovianus	27.82	23.03	23.1	18.5	8
Paratomarctus_euthos	14.8	12.5	10	9.4	21
Paratomarctus_temerarius	18.5	17.5	14.8	12.5	44
Philotrox_condoni	29.5	24.7	29.5	24.7	7
Phlaocyon_achoros	24.7	23.1	24.7	23.1	1
Phlaocyon_annectens	24.7	18.5	23.1	18.5	9
Phlaocyon_latidens	30.6	29.5	29.5	24.7	3
Phlaocyon_leucosteus	23.1	18.5	17.5	16.3	9
Phlaocyon_mariae	18.5	17.5	18.5	17.5	1
Phlaocyon_marslandensis	18.5	17.5	18.5	17.5	5
Phlaocyon_minor	29.5	24.7	23.1	18.5	11
Phlaocyon_multicuspus	23.1	18.5	23.1	18.5	1
Phlaocyon_yatkolai	18.5	17.5	18.5	17.5	1
Prohesperocyon_wilsoni	37	33.9	37	33.9	1
Protepicyon_raki	16.3	14.8	14.8	12.5	6
Protomarctus_optatus	18.5	17.5	16.3	14.8	23
Psalidocyon_marianae	16.3	14.8	16.3	14.8	4
Rhizocyon_oregonensis	29.5	24.7	29.5	24.7	3
Speothos_venaticus	0.4	0.0117	0	0	2
Sunkahetanka_geringensis	29.5	24.7	29.5	24.7	3
Tephrocyon_rurestris	17.5	16.3	16.3	14.8	7
Theriodictis_floridanus	3	1.8	1.8	0.85	2
Tomarctus_brevirostris	18.5	17.5	14.8	12.5	19
Tomarctus_hippophaga	16.3	14.8	16.3	14.8	23
Urocyon_cinereoargenteus	0.21	0.0117	0	0	29
Urocyon_citrinus	1.8	0.85	1.8	0.85	1
Urocyon_galushai	4.7	4.1	3	1.8	5
Urocyon_littoralis	0.0117	0	0	0	3
Urocyon_minicephalus	0.85	0.21	0.85	0.21	2
Urocyon_webbi	7.5	4.7	7.5	4.7	1
Vulpes_cana	0	0	0	0	0
Vulpes_chama	0.129	0.0117	0	0	9
Vulpes_corsac	0	0	0	0	0
Vulpes_ferrilata	0	0	0	0	0
Vulpes_lagopus	0.129	0.0117	0	0	42
Vulpes_macrotis	0.129	0.0117	0	0	1
Vulpes_pallida	0	0	0	0	0
Vulpes_rueppellii	0	0	0	0	0
Vulpes_stenognathus	14.8	12.5	7.5	4.7	21
Vulpes_velox	1.8	0.21	0	0	12
Vulpes_vulpes	0.774	0.129	0	0	70
Vulpes_zerda	0	0	0	0	0
Xenocyon_texanus	0.85	0.21	0.85	0.21	1
